Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D7, D8, D9",D_DO-35_SOD27_P7.62mm_Horizontal,61,1N4148,
D62,1206,1,LED,
J1,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02,
J2,PinHeader_1x04_P2.54mm_Horizontal,1,Conn_01x04,
R1,1206,1,R,
STAB1,STAB_MX_2u,1,2u,
"STAB2, STAB3",STAB_MX_2.25u,2,2.25u,
STAB4,STAB_MX_2.75u,1,2.25u,
STAB5,STAB_MX_6.25u,1,6.25u,
"SW1, SW10, SW11, SW12, SW13, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW6, SW7, SW8, SW9",SW_MX_HS_KS-2P02B01-01_1u,46,1u,
SW14,SW_MX_HS_KS-2P02B01-01_1u,1,2u,
"SW15, SW28",SW_MX_HS_KS-2P02B01-01_1.5u,2,1.5u,
SW29,SW_MX_HS_KS-2P02B01-01_1.75u,1,1.75u,
"SW41, SW42",SW_MX_HS_KS-2P02B01-01_1u,2,2.25u,
SW53,SW_MX_HS_KS-2P02B01-01_1u,1,2.75u,
"SW54, SW55, SW56, SW58, SW59, SW60, SW61",SW_MX_HS_KS-2P02B01-01_1.25u,7,1.25u,
SW57,SW_MX_HS_KS-2P02B01-01_1u,1,6.25u,
U1,MODULE_RP2040-ZERO,1,RP2040-ZERO,
