Designator,Mid X,Mid Y,Rotation,Layer
D1,111.9475,-126.275,90.0,bottom
D10,283.3975,-126.275,90.0,bottom
D11,302.4475,-126.275,90.0,bottom
D12,321.4975,-126.275,90.0,bottom
D13,340.5475,-126.275,90.0,bottom
D14,375.7975,-126.275,90.0,bottom
D15,121.4775,-145.335,90.0,bottom
D16,140.5275,-145.325,90.0,bottom
D17,159.5775,-145.325,90.0,bottom
D18,178.6275,-145.325,90.0,bottom
D19,197.6775,-145.325,90.0,bottom
D2,130.9975,-126.275,90.0,bottom
D20,216.7275,-145.325,90.0,bottom
D21,235.7775,-145.325,90.0,bottom
D22,254.8275,-145.325,90.0,bottom
D23,273.8775,-145.325,90.0,bottom
D24,292.9275,-145.325,90.0,bottom
D25,311.9775,-145.325,90.0,bottom
D26,331.0275,-145.325,90.0,bottom
D27,350.0775,-145.325,90.0,bottom
D28,373.89,-145.325,90.0,bottom
D29,119.09375,-164.385,90.0,bottom
D3,150.0475,-126.275,90.0,bottom
D30,145.2875,-164.385,90.0,bottom
D31,164.3375,-164.385,90.0,bottom
D32,183.3875,-164.385,90.0,bottom
D33,202.4375,-164.385,90.0,bottom
D34,221.4875,-164.385,90.0,bottom
D35,240.5375,-164.385,90.0,bottom
D36,259.5875,-164.385,90.0,bottom
D37,278.6375,-164.385,90.0,bottom
D38,297.6875,-164.385,90.0,bottom
D39,316.7375,-164.385,90.0,bottom
D4,169.0975,-126.275,90.0,bottom
D40,335.7875,-164.385,90.0,bottom
D41,373.41875,-164.385,90.0,bottom
D42,130.85125,-183.49,90.0,bottom
D43,154.8075,-183.435,90.0,bottom
D44,173.8575,-183.435,90.0,bottom
D45,192.9075,-183.435,90.0,bottom
D46,211.9575,-183.435,90.0,bottom
D47,231.0075,-183.405,90.0,bottom
D48,250.0575,-183.405,90.0,bottom
D49,269.1075,-183.405,90.0,bottom
D5,188.1475,-126.275,90.0,bottom
D50,288.1575,-183.405,90.0,bottom
D51,307.2075,-183.405,90.0,bottom
D52,326.2575,-183.405,90.0,bottom
D53,369.7645,-183.316,90.0,bottom
D54,116.7175,-202.425,90.0,bottom
D55,140.53,-202.425,90.0,bottom
D56,164.3425,-202.425,90.0,bottom
D57,235.78,-202.425,90.0,bottom
D58,307.2175,-202.425,90.0,bottom
D59,331.03,-202.425,90.0,bottom
D6,207.1975,-126.275,90.0,bottom
D60,354.8425,-202.425,90.0,bottom
D61,376.655,-202.425,90.0,bottom
D62,181.775,-191.625,180.0,top
D7,226.2475,-126.275,90.0,bottom
D8,245.2975,-126.275,90.0,bottom
D9,264.3475,-126.275,90.0,bottom
J1,181.7515,-199.696,270.0,top
J2,372.8875,-175.634,0.0,top
R1,181.7295,-195.408,0.0,top
SW1,102.4275,-121.675,0.0,bottom
SW10,273.8775,-121.675,0.0,bottom
SW11,292.9275,-121.675,0.0,bottom
SW12,311.9775,-121.675,0.0,bottom
SW13,331.0275,-121.675,0.0,bottom
SW14,359.6025,-121.675,0.0,bottom
SW15,107.19,-140.725,0.0,bottom
SW16,131.0025,-140.725,0.0,bottom
SW17,150.0525,-140.725,0.0,bottom
SW18,169.1025,-140.725,0.0,bottom
SW19,188.1525,-140.725,0.0,bottom
SW2,121.4775,-121.675,0.0,bottom
SW20,207.2025,-140.725,0.0,bottom
SW21,226.2525,-140.725,0.0,bottom
SW22,245.3025,-140.725,0.0,bottom
SW23,264.3525,-140.725,0.0,bottom
SW24,283.4025,-140.725,0.0,bottom
SW25,302.4525,-140.725,0.0,bottom
SW26,321.5025,-140.725,0.0,bottom
SW27,340.5525,-140.725,0.0,bottom
SW28,364.365,-140.725,0.0,bottom
SW29,109.57125,-159.775,0.0,bottom
SW3,140.5275,-121.675,0.0,bottom
SW30,135.765,-159.775,0.0,bottom
SW31,154.815,-159.775,0.0,bottom
SW32,173.865,-159.775,0.0,bottom
SW33,192.915,-159.775,0.0,bottom
SW34,211.965,-159.775,0.0,bottom
SW35,231.015,-159.775,0.0,bottom
SW36,250.065,-159.775,0.0,bottom
SW37,269.115,-159.775,0.0,bottom
SW38,288.165,-159.775,0.0,bottom
SW39,307.215,-159.775,0.0,bottom
SW4,159.5775,-121.675,0.0,bottom
SW40,326.265,-159.775,0.0,bottom
SW41,357.22125,-159.775,0.0,bottom
SW42,114.33375,-178.825,0.0,bottom
SW43,145.29,-178.825,0.0,bottom
SW44,164.34,-178.825,0.0,bottom
SW45,183.39,-178.825,0.0,bottom
SW46,202.44,-178.825,0.0,bottom
SW47,221.49,-178.825,0.0,bottom
SW48,240.54,-178.825,0.0,bottom
SW49,259.59,-178.825,0.0,bottom
SW5,178.6275,-121.675,0.0,bottom
SW50,278.64,-178.825,0.0,bottom
SW51,297.69,-178.825,0.0,bottom
SW52,316.74,-178.825,0.0,bottom
SW53,352.45875,-178.825,0.0,bottom
SW54,104.80875,-197.875,0.0,bottom
SW55,128.62125,-197.875,0.0,bottom
SW56,152.43375,-197.875,0.0,bottom
SW57,223.87125,-197.875,0.0,bottom
SW58,295.30875,-197.875,0.0,bottom
SW59,319.12125,-197.875,0.0,bottom
SW6,197.6775,-121.675,0.0,bottom
SW60,342.93375,-197.875,0.0,bottom
SW61,366.74625,-197.875,0.0,bottom
SW7,216.7275,-121.675,0.0,bottom
SW8,235.7775,-121.675,0.0,bottom
SW9,254.8275,-121.675,0.0,bottom
U1,201.7675,-197.785,270.0,bottom
